Name,Category,Matrix unit,"Energy, kilocalories (kcal)","Fat, total (g)","Fatty acids, saturated (g)","Fatty acids, monounsaturated (g)","Fatty acids, polyunsaturated (g)",Cholesterol (mg),"Carbohydrates, available (g)",Sugars (g),Starch (g),Dietary fibres (g),Protein (g),Salt (NaCl) (g),Alcohol (g),Water (g),"Vitamin A activity, RE (µg-RE)","Vitamin A activity, RAE (µg-RE)",Retinol (µg),Beta- carotene activity (µg-BCE),Beta-carotene (µg),Vitamin B1 (thiamine) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B6 (pyridoxine) (mg),Vitamin B12 (cobalamin) (µg),Niacin (mg),Folate (µg),Panthotenic acid (mg),Vitamin C (ascorbic acid) (mg),Vitamin D (calciferol) (µg),Vitamin E (?-tocopherol) (mg),Potassium (K) (mg),Sodium (Na) (mg),Chloride (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphorus (P) (mg),Iron (Fe) (mg),Iodide (I) (µg),Zinc (Zn) (mg),Selenium (Se) (µg)
"Apple, fresh",Fruit/Fresh fruit,per 100g edible portion,52,0.3,0.1,0,0.2,0,11.6,11.5,0.1,1.4,0.3,0,0,85.4,4,2,0,25,23,0.01,0.01,0.04,0,0.08,6,0.08,7.2,0,0.09,120,1.5,61,5.3,6.5,14,0.1,0.8,0.1,<0.5
"Apple, peeled, dried",Fruit/Dried fruit,per 100g edible portion,264,1.6,0.7,0.1,0.9,0,55.4,50,2.9,11.2,1.4,0,0,26.8,1,0,0,4,4,0.04,0.03,0.12,0,0.48,14,0.28,1.8,0,1.57,620,10,9,30,23,50,1.2,4.1,0.2,0.5
"Apple, stewed, drained (without addition of sugar)",Fruit/Cooked fruit (incl. cans),per 100g edible portion,56,0.3,0.1,0,0.2,0,12.2,12.1,0.1,1.5,0.3,0,0,85.7,4,2,0,25,23,0.01,0.01,0.04,0,0.09,4,0.09,3.8,0,0.12,94,1.2,80,6.7,6.8,15,0.1,1.1,0.1,0.7
"Applesauce, sweetened, canned",Fruit/Cooked fruit (incl. cans),per 100g edible portion,89,0.3,0.1,0,0.1,0,20.5,20.4,0.1,1.9,0.3,0,0,76.5,n.d.,n.d.,n.d.,n.d.,n.d.,0.02,0.02,0.04,0,0.08,5.9,0.08,2.3,0,0.34,97,3.6,2.1,4.4,3.6,8.1,0.2,0.7,0.1,n.d.
"Applesauce, unsweetened, canned",Fruit/Cooked fruit (incl. cans),per 100g edible portion,55,0.3,0.1,0,0.1,0,11.7,11.6,0.1,2.1,0.3,0,0,85,n.d.,n.d.,n.d.,n.d.,n.d.,0.02,0.02,0.05,0,0.09,6.5,0.09,2.5,0,0.43,110,4,2.2,4.8,4,9,0.2,0.8,0.1,n.d.
"Apricot pie, home-made, baked (with cake dough)","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",per 100g edible portion,141,6.5,2.9,2.5,0.7,18,16.8,6.2,9,1.5,3,0.2,0,72.2,219,114,8,1267,1267,0.04,0.05,0.06,0.08,0.28,5.1,0.28,2,0.1,0.94,200,88,140,24,12,48,0.4,3.2,0.3,1.6
"Apricot pie, home-made, baked (with puff pastry)","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",per 100g edible portion,139,6.7,3,2.6,0.7,18,16.1,6.2,8.3,1.5,2.8,0.3,0,73,225,117,8,1302,1267,0.04,0.04,0.05,0.08,0.27,5.2,0.27,2,0.1,0.98,200,110,170,24,8.8,40,0.3,3.2,0.2,1.5
"Apricot, dried",Fruit/Dried fruit,per 100g edible portion,239,0.5,0.2,0.1,0.2,0,59.1,34.3,<0.4,8.3,2.9,0,0,24.7,421,210,0,2525,2525,0.01,0.04,0.15,0,2.69,8.9,0.58,0.2,0,3.57,1370,11,5.4,82,50,110,1.4,2.7,0.4,0.4
"Apricot, in syrup, canned, drained",Fruit/Cooked fruit (incl. cans),per 100g edible portion,62,0.1,0,0.1,0,0,13.7,13.3,0,1.4,0.9,0,0,83,154,77,0,925,925,0.02,tr.,0.02,0,0.11,6.9,0.12,2.2,0,0.45,140,9.7,4.6,18,4.9,11,0.1,0.5,0.1,0.2
"Apricot, raw",Fruit/Fresh fruit,per 100g edible portion,44,0.1,0,0.1,0,0,9,6.7,tr.,1.7,0.8,0,0,87.1,384,192,0,2305,2243,0.02,0.02,0.06,0,0.38,5.6,0.18,3.6,0,0.5,260,tr.,1,15,8.4,22,0.2,0.5,0.1,0.1
"Apricot, stewed, drained (without addition of sugar) ",Fruit/Cooked fruit (incl. cans),per 100g edible portion,45,0.2,0,0.1,0,0,9,6.7,tr.,1.7,1,0,0,88.2,360,180,0,2161,2103,0.02,0.02,0.05,0,0.38,3.5,0.18,1.8,0,0.63,200,tr.,1.3,18,8.4,22,0.2,0.6,0.1,0.1
"Apricot, with sweetener, canned, drained",Fruit/Cooked fruit (incl. cans),per 100g edible portion,40,0.1,0,0.1,0,0,8.2,6.1,0,1.4,0.9,0,0,89.4,154,77,0,925,925,0.02,0.02,0.05,0,0.34,3.2,0.16,1.6,0,0.57,180,0,1.1,16,7.6,20,0.2,0.6,0.1,0.1
"Artichoke, heart, canned, drained",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,27,<0.5,tr.,tr.,tr.,0,2.3,1.2,<0.4,3.2,1.8,0.8,0,90.5,4,2,0,25,25,0.02,0.03,0.03,0,0.39,54.3,0.13,12.2,<0.3,1.12,150,310,500,25,18,34,0.4,<20,0.3,<20
"Asparagus, raw",Vegetables/Fresh vegetables,per 100g edible portion,27,0.2,tr.,tr.,tr.,0,3.3,3.2,0.1,1.7,2.2,0,0,92.3,26,13,0,156,148,0.12,0.13,0.07,0,1.1,76.3,0.19,14.9,0,1.13,220,1.6,60,16,12,49,0.4,7,0.5,1.1
"Asparagus, steamed (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,26,0.2,0,0,0,0,3.1,3,0.1,1.6,2.1,0,0,93,23,12,0,141,133,0.1,0.12,0.06,0,0.88,45.8,0.16,11.2,0,1.13,190,1.4,57,15,10,46,0.3,6.7,0.4,1
"Avocado, fresh","Vegetables/Fresh vegetables;Nuts, seeds and oleaginous fruit",per 100g edible portion,158,15.1,2.8,7.7,1.7,0,1.2,1.1,0.1,5.5,1.6,0,0,75.7,17,9,0,102,78,0.05,0.11,0.14,0,1.22,57.9,0.94,3.7,0,1.94,430,2.4,6,15,29,45,0.5,0,0.5,0
Bacon for cooking,Sausages and cold meats/Raw sausage products,per 100g edible portion,322,27.6,10.6,12.9,2.2,49,0.6,0.6,0,0,17.8,2.8,0,50.5,6,6,6,0,0,0.62,0.14,0.22,0.35,4.08,3,0.6,24.3,0.6,0.29,270,1130,1690,10,16,150,0.4,1.1,2,11
"Bacon, raw",Sausages and cold meats/Raw sausage products,per 100g edible portion,400,34.3,13.1,15.5,2.3,62,0.6,0.6,tr.,0,22.1,3.8,0,39,4,4,4,0,0,0.56,0.14,0.3,0.5,6.9,tr.,1.1,8.3,1.7,tr.,400,1520,2370,tr.,22,210,tr.,tr.,2.3,9.6
Baguette,"Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,255,0.9,0.2,0.1,0.5,0,51.2,0.5,50.1,2.9,9,1.6,0,36.8,0,0,0,0,0,0.12,0.03,0.09,0.01,0.46,8.8,0.26,0,0,0.36,140,660,1020,10,22,81,0.9,1,0.7,2.7
Balsamic vinegar,"Various/Salt, spices and flavours",per 100g edible portion,128,<0.6,0,0,0,0,25.8,19.1,0,0.5,0.7,0.1,0,70.3,1,0,0,5,<5,<0.02,<0.01,1.71,0,<0.1,5.5,0.07,<0.5,<0.3,0,160,27,<20,18,12,24,1,<20,0.1,<20
"Bami Goreng, prepared",Prepared dishes/Asian dishes,per 100g edible portion,130,2.4,0.3,1.3,0.5,44,13.1,1.3,11.3,0.9,13.5,1,0,70.1,44,27,11,196,196,0.12,0.08,0.14,0.05,3.6,4.6,0.32,11.6,0.3,0.41,190,400,620,9.3,18,120,0.7,1.6,0.7,n.d.
"Banana, dried",Fruit/Dried fruit,per 100g edible portion,273,1,0.4,0.1,0.2,0,60.2,43.7,16.5,5.5,3,0,0,28,17,8,0,100,100,0.1,0.18,0.81,0,2,33.3,0.54,4,0,0.6,1150,8,300,20,90,75,1.3,8.1,0.6,n.d.
"Banana, dried (banana chips)",Fruit/Dried fruit,per 100g edible portion,370,1.8,0.7,0.2,0.3,0,80.7,65.3,15.4,7.6,3.9,0,0,3,60,30,0,363,350,0.18,0.24,tr.,0,2.8,tr.,tr.,7,0,tr.,1490,3,tr.,22,110,74,1.2,tr.,tr.,n.d.
"Banana, raw",Fruit/Fresh fruit,per 100g edible portion,89,0.1,tr.,tr.,tr.,0,19.7,15.6,3.8,2.7,1.1,0,0,75.8,14,7,0,84,54,0.05,0.03,0.25,0,0.6,25.6,0.23,11.9,0,tr.,320,tr.,80,5.1,28,29,0.2,3,0.1,<0.5
Barley flakes,"Bread, flakes and breakfast cereals/Flakes, bran and germs",per 100g edible portion,333,1.5,0.3,0.1,0.7,0,66.1,2.2,63.6,10.3,8.5,0,0,12.4,0,0,0,0,0,0.2,0.08,0.29,0,3.1,19,0.49,0,0,0.25,160,3,20,16,66,190,2,1,1.3,2.8
"Barley risotto, cooked","Cereal products, pulses and potatoes/Other cereal products",per 100g edible portion,135,2.2,0.3,1.3,0.3,0,24.6,1.3,21.8,1.7,3.5,0.8,0,68.2,1,0,0,3,3,0.05,0.02,0.05,0,0.8,6.7,0.06,0.3,0,0.4,59,340,540,12,23,71,1,0.7,0.7,n.d.
"Basil, raw",Vegetables/Herbs,per 100g edible portion,46,0.8,0.1,0,0.4,0,5.1,5,0.1,3.1,3.1,0,0,86.4,811,405,0,4865,4820,0.08,0.31,0.18,0,1.1,50,0.2,26,0,1,300,9,35,250,11,37,5.5,0.9,0.7,n.d.
Basler Leckerli (Swiss biscuit from Basel),Sweets/Cookies/Biscuits,per 100g edible portion,412,7.9,0.7,4.5,1.8,0,75,52,22.6,2.8,7.5,0,0.8,7,2,1,0,13,13,0.06,0.15,0.11,0,0.44,11.4,0.18,1.1,0,3.82,180,2.7,28,51,40,98,1,0.4,0.7,1.1
"Bean, green, dried",Vegetables/Dried vegetables,per 100g edible portion,318,2,0.4,0.1,1.1,0,42.1,22.2,19.8,25.3,20.2,0.1,0,6,229,114,0,1371,1371,0.45,0.71,1.33,0,4.1,186,2.19,67.6,0,1,2510,21,140,540,230,400,7.2,25,2.5,n.d.
"Bean, green, raw",Vegetables/Fresh vegetables,per 100g edible portion,32,0.2,0.1,0,0.1,0,4.1,3.3,0.8,3,1.9,0,0,90.5,57,29,0,343,343,0.12,0.09,0.09,0,0.8,53.3,0.13,10.8,0,0.36,260,3.9,13,52,25,38,1,2.5,0.4,1
"Béchamel sauce, home-made",Various/Sauces,per 100g edible portion,147,9.9,6,2.3,0.5,31,10.1,4.8,5.3,0.2,4.2,0.7,0,75.5,98,95,91,41,41,0.03,0.22,0.03,0.15,0.13,2.7,0.33,0.7,0.2,0.27,170,300,490,120,12,99,0.1,9.9,0.4,1.3
"Beef (average excluding offal, chop), raw",Meat and offal/Beef,per 100g edible portion,134,5.4,2.4,2.3,0.3,53,0,0,0,0,21.4,0.1,0,73.2,7,6,5,10,10,0.07,0.15,0.31,2.85,4.85,5.9,0.68,0,0.2,0.44,330,45,69,4.5,20,180,1.8,1.6,4.5,n.d.
"Beef ragout with sauce, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,85,2.8,0.5,1.9,0.4,31,3,1.2,n.d.,0.6,11.6,0.8,0,82,123,63,2,728,728,0.01,0.06,0.12,0.48,n.d.,8.5,0.35,0.7,0.2,0.61,140,300,460,8.8,8.7,91,0.8,2.3,2.2,n.d.
"Beef, boiling meat lean, cooked (without addition of fat and salt)",Meat and offal/Beef,per 100g edible portion,190,7.1,3.3,2.8,0.6,98,0,0,n.d.,0,31.7,0.1,0,61.2,9,7,6,13,13,0.02,0.15,0.39,1.4,n.d.,6.5,0.62,0,0.6,0.33,280,48,90,5.9,19,200,2.8,5,7.6,n.d.
"Beef, boiling meat with fat, cooked (without addition of fat and salt)",Meat and offal/Beef,per 100g edible portion,276,18.9,7.9,8.7,1.2,80,0,0,n.d.,0,26.6,0.1,0,54.5,8,7,6,11,11,0.02,0.16,0.32,1.27,5.3,5.9,0.67,0,0.5,0.3,230,41,82,5,16,160,1.8,4.5,5.3,n.d.
"Beef, boiling meat, lean, raw",Meat and offal/Beef,per 100g edible portion,132,5.5,2.5,2.2,0.5,59,0,0,n.d.,0,20.7,0.1,0,71.2,7,6,<5,10,10,0.04,0.13,0.55,1.4,n.d.,6,0.74,0,0.5,0.26,320,57,54,4.4,18,180,1.7,3,4.9,n.d.
"Beef, boiling meat, with fat, raw",Meat and offal/Beef,per 100g edible portion,227,16.6,7,7.6,1,53,0,0,n.d.,0,19.5,0.2,0,61.7,7,6,<5,10,10,0.04,0.13,0.53,1.4,7,6,0.74,0,0.5,0.26,300,60,54,4.1,18,160,1.2,3,3.5,n.d.
"Beef, breast, cooked (without addition of fat and salt)",Meat and offal/Beef,per 100g edible portion,254,15.6,6.7,7.4,0.6,100,0,0,0,0,28.3,0.1,0,56,8,7,6,13,13,0.06,0.24,0.11,4.6,3.91,3.3,0.53,0,0,0.53,230,36,88,5.3,18,210,3.6,0.5,8,n.d.
"Beef, breast, raw",Meat and offal/Beef,per 100g edible portion,188,12.5,5.4,5.9,0.5,60,0,0,0,0,18.9,0.1,0,67.7,7,6,<5,10,10,0.09,0.18,0.17,4.6,4.7,3,0.53,0,tr.,0.43,270,48,53,4,18,190,2.2,0.3,4.8,n.d.
"Beef, chopped, raw",Meat and offal/Beef,per 100g edible portion,102,1.5,0.6,0.6,0.3,56,0,0,n.d.,0,22.2,0.1,0,74,7,6,<5,10,10,0.08,0.13,0.26,1.18,5.03,6,0.74,0,0.5,0.26,360,44,50,4.2,20,190,1.4,3,3.5,7.6
"Beef, entrcôte, steak, pan fried ""medium"" (without addition of fat and salt)",Meat and offal/Beef,per 100g edible portion,162,4.6,2.2,2.3,0.4,63,0,0,0,0,30.2,0.1,0,65.2,5,4,4,8,8,0.03,0.12,0.45,1.34,5.48,7,0.76,0,0.4,0.68,290,49,74,6,23,210,1.7,4.1,4.7,12
"Beef, entrecôte, steak, raw",Meat and offal/Beef,per 100g edible portion,133,4.5,2.2,2.2,0.4,46,0,0,0,0,23.2,0.1,0,71,7,6,<5,10,10,0.05,0.1,0.73,1.4,5,6,0.69,0,0.5,0.9,360,42,54,4.9,20,180,1.3,3,3.4,9
"Beef, eye of round, raw",Meat and offal/Beef,per 100g edible portion,106,1.8,0.8,0.8,0.3,52,0,0,n.d.,0,22.4,0.1,0,73.8,7,6,<5,10,10,0.02,0.12,0.63,1.4,n.d.,6,0.72,0,0.5,0.9,380,39,54,5.1,20,190,1,3,2.8,8
"Beef, Filet, fried in oven ""medium"" (without addition of fat and salt)",Meat and offal/Beef,per 100g edible portion,128,2,0.9,0.9,0.1,47,0,0,0,0,27.7,0.1,0,70.4,6,5,4,9,9,0.08,0.15,0.13,2,4.91,11.3,1.07,0,0,0.18,330,48,73,3.6,25,190,2.9,0.1,5.9,n.d.
"Beef, filet, raw",Meat and offal/Beef,per 100g edible portion,105,2,0.9,0.9,0.1,35,0,0,0,0,21.9,0.1,0,75.1,7,6,<5,10,10,0.1,0.13,0.19,2,4.6,10,1,0,tr.,0.24,340,42,55,3,22,160,2.3,0.1,4.4,n.d.
"Beef, liver, raw",Meat and offal/Beef,per 100g edible portion,138,3.9,1.4,0.6,0.8,354,5.3,0,0,0,20.5,0.3,0,69.1,4259,4179,4100,951,n.d.,0.28,2.88,0.83,65,14.7,220,7.3,23,1.7,0.75,290,120,90,7,17,360,7,13,4.8,n.d.
"Beef, minced, pan fried (without addition of fat and salt)",Meat and offal/Beef,per 100g edible portion,211,8.9,3.8,4,0.6,89,0,0,0,0,32.6,0.2,0,58.5,7,6,6,9,9,0.05,0.16,0.32,1.57,4.9,13.5,0.39,0,0.4,0.23,290,82,79,7.1,23,220,3,4.8,7,n.d.
"Beef, minced, raw",Meat and offal/Beef,per 100g edible portion,154,7.5,3.2,3.4,0.5,56,0,0,0,0,21.6,0.2,0,69.7,8,7,6,10,10,0.06,0.12,0.45,1.41,3.86,10,0.31,0,0.5,0.26,310,61,50,5,17,160,2,3,4.4,n.d.
"Beef, prime rib, raw",Meat and offal/Beef,per 100g edible portion,165,9,4,3.3,0.7,58,0,0,n.d.,0,21.1,0.1,0,68.6,7,6,<5,10,10,0.04,0.13,0.41,1.4,n.d.,6,0.72,0,0.5,0.26,330,45,54,4.4,18,170,1.5,3,5,11
"Beef, ragout (goulash), raw",Meat and offal/Beef,per 100g edible portion,150,8.1,4,3.3,0.3,60,0,0,0,0,19.3,0.1,0,71.7,7,6,<5,10,10,0.09,0.19,0.18,4.8,5.2,3,0.57,0,tr.,0.46,300,45,54,6.8,18,160,2.1,0.2,5.7,n.d.
"Beef, ragout, raw",Meat and offal/Beef,per 100g edible portion,97,1.3,0.6,0.6,0.3,54,0,0,n.d.,0,21.2,0.1,0,74.2,7,6,<5,10,10,0.01,0.12,0.42,1.4,n.d.,6,0.74,0,0.5,0.26,350,49,50,3.9,18,180,1.2,3,3.7,6
"Beef, rib, raw",Sausages and cold meats/Cooked sausage products,per 100g edible portion,155,7.3,2.6,3.4,0.8,51,0.5,0,0,0,21.7,6.2,0,67.5,5,5,5,0,0,0.66,0.16,0.47,1,2.2,2,0.38,0,tr.,0.2,240,2470,3240,32,54,98,1.5,3.2,1.1,n.d.
"Beef, round, schnitzel, raw",Meat and offal/Beef,per 100g edible portion,111,2.3,1.1,0.9,0.1,55,0,0,0,0,22.6,0.1,0,74,7,6,<5,10,10,0.09,0.17,tr.,2.2,4.5,9.9,0.59,tr.,tr.,tr.,360,50,170,3.8,23,200,2.2,3,3.9,6.1
"Beef, shoulder (roast), raw",Meat and offal/Beef,per 100g edible portion,117,3.5,1.2,1.4,0.3,61,0,0,0,0,21.6,0.1,0,73.8,7,6,<5,10,10,0.09,0.19,0.19,5,5.1,3,0.6,0,tr.,0.31,300,50,55,4,19,210,1.8,0.1,5.8,n.d.
"Beef, shoulder, medium roast in oven (without addition of fat and salt)",Meat and offal/Beef,per 100g edible portion,146,3.6,1.3,1.5,0.3,85,0,0,0,0,28.5,0.1,0,67.9,6,5,5,9,9,0.07,0.23,0.14,5.21,5.67,3.5,0.67,0,0,0.24,300,59,76,5,22,260,2.4,0.1,8.1,n.d.
"Beef, shoulder, rare roast in oven (without addition of fat and salt)",Meat and offal/Beef,per 100g edible portion,135,3.3,1.2,1.4,0.3,78,0,0,0,0,26.3,0.1,0,70.4,6,5,4,8,8,0.07,0.21,0.13,4.81,5.23,3.3,0.62,0,0,0.22,280,54,71,4.6,21,240,2.2,0.1,7.4,n.d.
"Beef, shoulder, well done roast in oven (without addition of fat and salt)",Meat and offal/Beef,per 100g edible portion,170,4.2,1.5,1.7,0.3,98,0,0,0,0,33.1,0.2,0,62.7,7,6,5,10,10,0.08,0.27,0.16,6.05,6.58,4.1,0.77,0,0,0.28,350,69,89,5.8,26,300,2.8,0.2,9.4,n.d.
"Beef, tongue, raw",Meat and offal/Beef,per 100g edible portion,196,13,4.7,6,1.1,108,3.7,0,0,0,16,0.2,0,66.4,16,14,12,24,24,0.13,0.29,0.13,5,4.6,7,2,3,tr.,0.26,260,80,13,10,18,160,3,2.3,2.9,n.d.
Beer shandy (average),Alcoholic beverages/Beer,per 100ml food volume,39,0,0,0,0,0,7.4,7.1,0,0,0.2,0,1.3,91.1,0,0,0,0,0,0,0.02,0.02,0.01,0.27,2.1,0.01,0,0,0,24,2.6,13,4.5,11,7,0.1,1.7,0,n.d.
"Beer, five grain",Alcoholic beverages/Beer,per 100ml food volume,40,0,0,0,0,0,2,2,0,<0.2,0.6,0,4.1,92.5,0,0,0,0,0,0,0.04,0.09,0.1,0.77,5,0.09,0,0,0,43,1.4,11,3.6,11,16,0,tr.,tr.,n.d.
"Beer, lager",Alcoholic beverages/Beer,per 100ml food volume,42,0,0,0,0,0,3.1,2.2,0,0,0.5,0,4,91.9,0,0,0,0,0,0,0.03,0.06,0.02,0.77,6.3,0.03,0,0,0,55,1.9,17,3.5,9.6,19,0,1.5,0,n.d.
"Beer, non-alcoholic",Alcoholic beverages/Beer,per 100ml food volume,23,0,0,0,0,0,4.9,2.6,0,0,0.4,0,0.3,93.3,0,0,0,0,0,0.01,0.01,0.04,0.02,0.65,5,0.08,0,0,0,34,1.5,19,4.8,6.2,11,0,1,0,n.d.
"Beetroot, raw",Vegetables/Fresh vegetables,per 100g edible portion,46,0.1,0,0,0.1,0,8.4,8.4,0,2.5,1.5,0.1,0,85.1,1,1,0,7,7,0.02,0.04,0.04,0,0.23,83,0.15,5.5,0,0.05,430,49,76,16,21,23,0.3,0.4,0.3,0.2
"Beetroot, steamed (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,54,0.1,0,0,0.1,0,10,10,0,3,1.8,0.1,0,85.1,1,1,0,8,8,0.02,0.05,0.04,0,0.23,62.3,0.16,5.5,0,0.06,450,49,90,19,22,28,0.3,0.5,0.3,0.2
